linkID,enterNodeID,exitNodeID,travelDirection,startTravelTime,whichDay,whichPeriod,travelTime,meanSpeed,speedDeviation,flow,density
603,608,654,-1,2014-07-30 08:00:00,3,33,196.452609,2.61,0.21,4,8.178140
603,608,654,-1,2014-07-23 08:00:00,3,33,168.658207,2.9,0.39,2,4.089070
603,608,654,-1,2014-07-16 08:00:00,3,33,111.924211,4.37,0.0,1,2.044535
603,608,654,-1,2014-07-09 08:00:00,3,33,184.105080,2.91,0.66,3,6.133605
603,608,654,-1,2014-07-02 08:00:00,3,33,98.214618,4.98,0.98,5,10.222674
603,608,654,-1,2014-06-25 08:00:00,3,33,114.545386,4.27,0.13,4,8.178140
603,608,654,-1,2014-06-18 08:00:00,3,33,258.787725,1.89,0.61,3,6.133605
603,608,654,-1,2014-06-11 08:00:00,3,33,299.538263,2.05,0.79,2,4.089070
603,608,654,-1,2014-06-04 08:00:00,3,33,301.442667,1.72,0.05,2,4.089070
603,608,654,-1,2014-05-28 08:00:00,3,33,162.516634,3.69,0.33,2,4.089070
603,608,654,-1,2014-05-21 08:00:00,3,33,216.081767,2.68,0.17,2,4.089070
603,608,654,-1,2014-05-14 08:00:00,3,33,144.044347,3.96,0.04,2,4.089070
603,608,654,-1,2014-05-07 08:00:00,3,33,118.715728,4.12,0.12,4,8.178140
603,608,654,-1,2014-04-30 08:00:00,3,33,102.817089,5.06,0.90,6,12.267209
603,608,654,-1,2014-04-23 08:00:00,3,33,224.361835,2.18,0.0,1,2.044535
603,608,654,-1,2014-04-16 08:00:00,3,33,298.237073,1.64,0.0,1,2.044535
603,608,654,-1,2014-04-09 08:00:00,3,33,270.673578,1.97,0.28,3,6.133605
