linkID,enterNodeID,exitNodeID,travelDirection,startTravelTime,whichDay,whichPeriod,travelTime,meanSpeed,speedDeviation,flow,density
603,608,654,-1,2014-07-30 08:00:00,3,33,196.452609,2.61,0.21,4,8.178140
603,608,654,-1,2014-07-29 08:00:00,2,33,288.243942,1.85,0.07,2,4.089070
603,608,654,-1,2014-07-28 08:00:00,1,33,287.711059,1.7,0.0,1,2.044535
603,608,654,-1,2014-07-27 08:00:00,7,33,87.969209,5.56,0.0,1,2.044535
603,608,654,-1,2014-07-26 08:00:00,6,33,140.548506,3.48,0.56,4,8.178140
603,608,654,-1,2014-07-25 08:00:00,5,33,339.117137,1.47,0.23,2,4.089070
603,608,654,-1,2014-07-24 08:00:00,4,33,274.780225,1.78,0.05,4,8.178140
603,608,654,-1,2014-07-23 08:00:00,3,33,168.658207,2.9,0.39,2,4.089070
603,608,654,-1,2014-07-22 08:00:00,2,33,407.590667,1.2,0.38,3,6.133605
603,608,654,-1,2014-07-21 08:00:00,1,33,448.723670,1.09,0.0,1,2.044535
603,608,654,-1,2014-07-20 08:00:00,7,33,167.503014,2.92,0.11,2,4.089070
603,608,654,-1,2014-07-19 08:00:00,6,33,105.867706,4.62,0.66,2,4.089070
603,608,654,-1,2014-07-18 08:00:00,5,33,326.519476,1.70,0.31,2,4.089070
603,608,654,-1,2014-07-17 08:00:00,4,33,99.009879,4.94,0.0,1,2.044535
603,608,654,-1,2014-07-16 08:00:00,3,33,111.924211,4.37,0.0,1,2.044535
603,608,654,-1,2014-07-15 08:00:00,2,33,141.451240,3.93,0.18,2,4.089070
603,608,654,-1,2014-07-14 08:00:00,1,33,110.159640,4.44,1.17,2,4.089070
603,608,654,-1,2014-07-13 08:00:00,7,33,84.620900,5.78,0.38,4,8.178140
603,608,654,-1,2014-07-12 08:00:00,6,33,191.807373,2.55,0.06,5,10.222674
603,608,654,-1,2014-07-11 08:00:00,5,33,165.239459,2.96,0.2,2,4.089070
603,608,654,-1,2014-07-10 08:00:00,4,33,158.801558,3.08,0.0,1,2.044535
603,608,654,-1,2014-07-09 08:00:00,3,33,184.105080,2.91,0.66,3,6.133605
603,608,654,-1,2014-07-08 08:00:00,2,33,199.636245,2.45,0.0,1,2.044535
603,608,654,-1,2014-07-07 08:00:00,1,33,474.862913,1.03,0.0,1,2.044535
603,608,654,-1,2014-07-06 08:00:00,7,33,114.277757,4.28,0.5,3,6.133605
603,608,654,-1,2014-07-05 08:00:00,6,33,85.062400,5.75,0.0,1,2.044535
603,608,654,-1,2014-07-04 08:00:00,5,33,140.953545,3.47,1.6,3,6.133605
603,608,654,-1,2014-07-03 08:00:00,4,33,110.948412,4.90,0.59,3,6.133605
603,608,654,-1,2014-07-02 08:00:00,3,33,98.214618,4.98,0.98,5,10.222674
603,608,654,-1,2014-07-01 08:00:00,2,33,158.287638,3.09,1.05,3,6.133605
603,608,654,-1,2014-06-30 08:00:00,1,33,84.039313,5.82,0.0,1,2.044535
603,608,654,-1,2014-06-29 08:00:00,7,33,141.360925,3.46,0.95,2,4.089070
603,608,654,-1,2014-06-28 08:00:00,6,33,182.175411,2.83,0.24,2,4.089070
603,608,654,-1,2014-06-27 08:00:00,5,33,153.807799,3.18,0.22,4,8.178140
603,608,654,-1,2014-06-26 08:00:00,4,33,104.065702,4.7,0.55,2,4.089070
603,608,654,-1,2014-06-25 08:00:00,3,33,114.545386,4.27,0.13,4,8.178140
603,608,654,-1,2014-06-24 08:00:00,2,33,132.892655,4.14,0.72,3,6.133605
603,608,654,-1,2014-06-23 08:00:00,1,33,211.276809,2.64,0.15,2,4.089070
603,608,654,-1,2014-06-22 08:00:00,7,33,91.937744,5.32,0.0,1,2.044535
603,608,654,-1,2014-06-21 08:00:00,6,33,149.118537,3.28,0.41,6,12.267209
603,608,654,-1,2014-06-20 08:00:00,5,33,319.678954,1.53,0.0,1,2.044535
603,608,654,-1,2014-06-19 08:00:00,4,33,122.891658,3.98,0.0,1,2.044535
603,608,654,-1,2014-06-18 08:00:00,3,33,258.787725,1.89,0.61,3,6.133605
603,608,654,-1,2014-06-17 08:00:00,2,33,385.125039,1.27,0.0,1,2.044535
603,608,654,-1,2014-06-16 08:00:00,1,33,470.296923,1.04,0.0,1,2.044535
603,608,654,-1,2014-06-15 08:00:00,7,33,140.561992,4.08,0.43,2,4.089070
603,608,654,-1,2014-06-14 08:00:00,6,33,120.470148,4.06,2.01,3,6.133605
603,608,654,-1,2014-06-13 08:00:00,5,33,326.975655,1.52,0.02,2,4.089070
603,608,654,-1,2014-06-12 08:00:00,4,33,254.364532,2.27,0.27,3,6.133605
603,608,654,-1,2014-06-11 08:00:00,3,33,299.538263,2.05,0.79,2,4.089070
603,608,654,-1,2014-06-10 08:00:00,2,33,283.231240,1.77,0.00,1,2.044535
603,608,654,-1,2014-06-09 08:00:00,1,33,219.337581,3.15,0.03,2,4.089070
603,608,654,-1,2014-06-08 08:00:00,7,33,108.606268,4.55,1.29,5,10.222674
603,608,654,-1,2014-06-07 08:00:00,6,33,69.475682,7.04,0.05,2,4.089070
603,608,654,-1,2014-06-06 08:00:00,5,33,384.678384,1.30,0.01,2,4.089070
603,608,654,-1,2014-06-05 08:00:00,4,33,382.116250,1.28,0.06,2,4.089070
603,608,654,-1,2014-06-04 08:00:00,3,33,301.442667,1.72,0.05,2,4.089070
603,608,654,-1,2014-06-03 08:00:00,2,33,198.444368,2.92,0.37,2,4.089070
603,608,654,-1,2014-06-02 08:00:00,1,33,127.372083,3.84,0.09,2,4.089070
603,608,654,-1,2014-06-01 08:00:00,7,33,119.552690,4.12,0.80,5,10.222674
603,608,654,-1,2014-05-31 08:00:00,6,33,101.370266,5.13,0.86,3,6.133605
603,608,654,-1,2014-05-30 08:00:00,5,33,221.243394,2.49,0.30,2,4.089070
603,608,654,-1,2014-05-29 08:00:00,4,33,183.186816,2.67,0.18,4,8.178140
603,608,654,-1,2014-05-28 08:00:00,3,33,162.516634,3.69,0.33,2,4.089070
603,608,654,-1,2014-05-27 08:00:00,2,33,195.643520,2.5,0.0,1,2.044535
603,608,654,-1,2014-05-26 08:00:00,1,33,161.118681,3.19,0.19,3,6.133605
603,608,654,-1,2014-05-25 08:00:00,7,33,92.344006,5.37,0.85,4,8.178140
