Total_epoch:1000
link:603 Epoch:0001cost =0.468357295; MAPE2.749553121
link:603 Epoch:0002cost =0.466191411; MAPE2.722719890
link:603 Epoch:0003cost =0.463957161; MAPE2.693877705
link:603 Epoch:0004cost =0.461667359; MAPE2.662849017
link:603 Epoch:0005cost =0.459336013; MAPE2.629438995
link:603 Epoch:0006cost =0.456980765; MAPE2.593422943
link:603 Epoch:0007cost =0.454618335; MAPE2.554555379
link:603 Epoch:0008cost =0.452267230; MAPE2.512613034
link:603 Epoch:0009cost =0.449943453; MAPE2.467252055
link:603 Epoch:0010cost =0.447662055; MAPE2.418142847
link:603 Epoch:0011cost =0.445432156; MAPE2.364921760
link:603 Epoch:0012cost =0.443260342; MAPE2.307245558
link:603 Epoch:0013cost =0.441148460; MAPE2.244785370
link:603 Epoch:0014cost =0.439094156; MAPE2.177254655
link:603 Epoch:0015cost =0.437089771; MAPE2.104467688
link:603 Epoch:0016cost =0.435125291; MAPE2.026266059
link:603 Epoch:0017cost =0.433188260; MAPE1.942551290
link:603 Epoch:0018cost =0.431260645; MAPE1.853444205
link:603 Epoch:0019cost =0.429324985; MAPE1.759157335
link:603 Epoch:0020cost =0.427354693; MAPE1.659856684
link:603 Epoch:0021cost =0.425321579; MAPE1.555803908
link:603 Epoch:0022cost =0.423189044; MAPE1.447357995
link:603 Epoch:0023cost =0.420908034; MAPE1.335016778
link:603 Epoch:0024cost =0.418418497; MAPE1.219261009
link:603 Epoch:0025cost =0.415644169; MAPE1.100688984
link:603 Epoch:0026cost =0.412503928; MAPE0.980237594
link:603 Epoch:0027cost =0.408924431; MAPE0.860496830
link:603 Epoch:0028cost =0.404882193; MAPE0.744633384
link:603 Epoch:0029cost =0.400458485; MAPE0.637241997
link:603 Epoch:0030cost =0.395853311; MAPE0.543602646
link:603 Epoch:0031cost =0.391310155; MAPE0.470224808
link:603 Epoch:0032cost =0.386974961; MAPE0.416866695
link:603 Epoch:0033cost =0.382808745; MAPE0.378211938
link:603 Epoch:0034cost =0.378612965; MAPE0.350008329
link:603 Epoch:0035cost =0.374093592; MAPE0.330539184
link:603 Epoch:0036cost =0.368905544; MAPE0.316124602
link:603 Epoch:0037cost =0.362674743; MAPE0.306686410
link:603 Epoch:0038cost =0.355103105; MAPE0.300355730
link:603 Epoch:0039cost =0.346292466; MAPE0.296300129
link:603 Epoch:0040cost =0.337146848; MAPE0.294184696
link:603 Epoch:0041cost =0.328954637; MAPE0.293318628
link:603 Epoch:0042cost =0.322278738; MAPE0.293477420
link:603 Epoch:0043cost =0.316840589; MAPE0.294242171
link:603 Epoch:0044cost =0.312239677; MAPE0.294967362
link:603 Epoch:0045cost =0.308259904; MAPE0.295135321
link:603 Epoch:0046cost =0.304790348; MAPE0.295224759
link:603 Epoch:0047cost =0.301757902; MAPE0.296100369
link:603 Epoch:0048cost =0.299099594; MAPE0.298645462
link:603 Epoch:0049cost =0.296756864; MAPE0.302573886
link:603 Epoch:0050cost =0.294675916; MAPE0.307473204
link:603 Epoch:0051cost =0.292805374; MAPE0.313619797
link:603 Epoch:0052cost =0.291095555; MAPE0.319510753
link:603 Epoch:0053cost =0.289493084; MAPE0.324142031
link:603 Epoch:0054cost =0.287938952; MAPE0.327194967
link:603 Epoch:0055cost =0.286359012; MAPE0.328750176
link:603 Epoch:0056cost =0.284650624; MAPE0.329183214
link:603 Epoch:0057cost =0.282656252; MAPE0.329428215
link:603 Epoch:0058cost =0.280129969; MAPE0.331016507
link:603 Epoch:0059cost =0.276751131; MAPE0.335397327
link:603 Epoch:0060cost =0.272467107; MAPE0.343514415
link:603 Epoch:0061cost =0.268304080; MAPE0.350909262
link:603 Epoch:0062cost =0.265372247; MAPE0.353430582
link:603 Epoch:0063cost =0.262933701; MAPE0.354167983
link:603 Epoch:0064cost =0.259627134; MAPE0.353053130
link:603 Epoch:0065cost =0.253205031; MAPE0.346505695
link:603 Epoch:0066cost =0.242351010; MAPE0.337354257
link:603 Epoch:0067cost =0.236136705; MAPE0.336010989
link:603 Epoch:0068cost =0.233712852; MAPE0.336339073
link:603 Epoch:0069cost =0.232277602; MAPE0.336367187
link:603 Epoch:0070cost =0.231313944; MAPE0.337705192
link:603 Epoch:0071cost =0.230621368; MAPE0.339634659
link:603 Epoch:0072cost =0.230100036; MAPE0.341584389
link:603 Epoch:0073cost =0.229692563; MAPE0.343083137
link:603 Epoch:0074cost =0.229365110; MAPE0.343940823
link:603 Epoch:0075cost =0.229095399; MAPE0.344176174
link:603 Epoch:0076cost =0.228868395; MAPE0.344010571
link:603 Epoch:0077cost =0.228674218; MAPE0.343291985
link:603 Epoch:0078cost =0.228505731; MAPE0.342303838
link:603 Epoch:0079cost =0.228357822; MAPE0.341121349
link:603 Epoch:0080cost =0.228226051; MAPE0.339718466
link:603 Epoch:0081cost =0.228107452; MAPE0.338126821
link:603 Epoch:0082cost =0.228000417; MAPE0.336266229
link:603 Epoch:0083cost =0.227902785; MAPE0.334263623
link:603 Epoch:0084cost =0.227812484; MAPE0.332072351
link:603 Epoch:0085cost =0.227729321; MAPE0.329856401
link:603 Epoch:0086cost =0.227651745; MAPE0.327623703
link:603 Epoch:0087cost =0.227579519; MAPE0.325290180
link:603 Epoch:0088cost =0.227511823; MAPE0.322812051
link:603 Epoch:0089cost =0.227447867; MAPE0.320190851
link:603 Epoch:0090cost =0.227387294; MAPE0.317413119
link:603 Epoch:0091cost =0.227330416; MAPE0.314462724
link:603 Epoch:0092cost =0.227276593; MAPE0.311313019
link:603 Epoch:0093cost =0.227225780; MAPE0.307971874
link:603 Epoch:0094cost =0.227177784; MAPE0.304451731
link:603 Epoch:0095cost =0.227132633; MAPE0.300842399
link:603 Epoch:0096cost =0.227089778; MAPE0.297130881
link:603 Epoch:0097cost =0.227048799; MAPE0.293285853
link:603 Epoch:0098cost =0.227010265; MAPE0.289315320
link:603 Epoch:0099cost =0.226973400; MAPE0.285283458
link:603 Epoch:0100cost =0.226938084; MAPE0.281197780
link:603 Epoch:0101cost =0.226904452; MAPE0.277077014
link:603 Epoch:0102cost =0.226872444; MAPE0.272983074
link:603 Epoch:0103cost =0.226841554; MAPE0.268801414
link:603 Epoch:0104cost =0.226811871; MAPE0.264623505
link:603 Epoch:0105cost =0.226783440; MAPE0.260356838
link:603 Epoch:0106cost =0.226756185; MAPE0.256262573
link:603 Epoch:0107cost =0.226730272; MAPE0.251908294
link:603 Epoch:0108cost =0.226705447; MAPE0.248564832
link:603 Epoch:0109cost =0.226681381; MAPE0.243388191
link:603 Epoch:0110cost =0.226658896; MAPE0.243702209
link:603 Epoch:0111cost =0.226637453; MAPE0.230959403
link:603 Epoch:0112cost =0.226618201; MAPE0.273717537
link:603 Epoch:0113cost =0.226614177; MAPE0.297867377
link:603 Epoch:0114cost =0.226766273; MAPE1.001884082
link:603 Epoch:0115cost =0.228224665; MAPE0.959890568
link:603 Epoch:0116cost =0.231074765; MAPE0.976975227
link:603 Epoch:0117cost =0.229002059; MAPE0.974531243
link:603 Epoch:0118cost =0.228878245; MAPE0.964286185
link:603 Epoch:0119cost =0.229099289; MAPE0.957232893
link:603 Epoch:0120cost =0.230475083; MAPE0.924939696
link:603 Epoch:0121cost =0.228919655; MAPE0.833024257
link:603 Epoch:0122cost =0.229731143; MAPE0.643684425
link:603 Epoch:0123cost =0.231416225; MAPE1.418623181
link:603 Epoch:0124cost =0.235586718; MAPE0.995892457
link:603 Epoch:0125cost =0.264262408; MAPE0.988189409
link:603 Epoch:0126cost =0.246600494; MAPE2.405099509
link:603 Epoch:0127cost =0.272846878; MAPE0.999890732
link:603 Epoch:0128cost =0.206883445; MAPE0.983778131
link:603 Epoch:0129cost =0.201829746; MAPE0.982397238
link:603 Epoch:0130cost =0.201789498; MAPE0.980500058
link:603 Epoch:0131cost =0.201749250; MAPE0.977770731
link:603 Epoch:0132cost =0.201695949; MAPE0.973503362
link:603 Epoch:0133cost =0.201606825; MAPE0.965757532
link:603 Epoch:0134cost =0.201400965; MAPE0.946880160
link:603 Epoch:0135cost =0.200479776; MAPE0.890248283
link:603 Epoch:0136cost =0.213033333; MAPE0.970691247
link:603 Epoch:0137cost =0.201835826; MAPE0.970250008
link:603 Epoch:0138cost =0.201614648; MAPE0.969526461
link:603 Epoch:0139cost =0.201243103; MAPE0.976706414
link:603 Epoch:0140cost =0.192810461; MAPE0.997578534
link:603 Epoch:0141cost =0.166630536; MAPE0.997276762
link:603 Epoch:0142cost =0.166492403; MAPE0.997130500
link:603 Epoch:0143cost =0.166430295; MAPE0.996972186
link:603 Epoch:0144cost =0.166333646; MAPE0.996745570
link:603 Epoch:0145cost =0.166065142; MAPE0.996341049
link:603 Epoch:0146cost =0.163582072; MAPE0.988018593
link:603 Epoch:0147cost =0.130102724; MAPE0.968508298
link:603 Epoch:0148cost =0.139415711; MAPE0.958835421
link:603 Epoch:0149cost =0.131605625; MAPE0.948008231
link:603 Epoch:0150cost =0.130977452; MAPE0.869693834
link:603 Epoch:0151cost =0.130683213; MAPE0.289991024
link:603 Epoch:0152cost =0.128897339; MAPE0.542079540
link:603 Epoch:0153cost =0.129067332; MAPE0.995492797
link:603 Epoch:0154cost =0.131133646; MAPE0.995150633
link:603 Epoch:0155cost =0.131122589; MAPE0.994720686
link:603 Epoch:0156cost =0.131111711; MAPE0.994180944
link:603 Epoch:0157cost =0.131097421; MAPE0.993496188
link:603 Epoch:0158cost =0.131073460; MAPE0.992622961
link:603 Epoch:0159cost =0.131022975; MAPE0.991545407
link:603 Epoch:0160cost =0.130905464; MAPE0.990263113
link:603 Epoch:0161cost =0.131054133; MAPE0.987279265
link:603 Epoch:0162cost =0.131099686; MAPE0.981925976
link:603 Epoch:0163cost =0.131076649; MAPE0.969491771
link:603 Epoch:0164cost =0.131024629; MAPE0.923170689
link:603 Epoch:0165cost =0.130841747; MAPE0.293582522
link:603 Epoch:0166cost =0.129090711; MAPE3.648157749
link:603 Epoch:0167cost =0.149161011; MAPE3.548010567
link:603 Epoch:0168cost =0.147635907; MAPE0.952892797
link:603 Epoch:0169cost =0.119208790; MAPE0.256893224
link:603 Epoch:0170cost =0.094312012; MAPE2.595300095
link:603 Epoch:0171cost =0.103151910; MAPE0.999963053
link:603 Epoch:0172cost =0.096847177; MAPE0.999884686
link:603 Epoch:0173cost =0.095394954; MAPE0.999871825
link:603 Epoch:0174cost =0.095652185; MAPE0.999974266
link:603 Epoch:0175cost =0.095534302; MAPE0.999974137
link:603 Epoch:0176cost =0.095510818; MAPE0.999974042
link:603 Epoch:0177cost =0.095508516; MAPE0.999973933
link:603 Epoch:0178cost =0.095507719; MAPE0.999973812
link:603 Epoch:0179cost =0.095507003; MAPE0.999973675
link:603 Epoch:0180cost =0.095506161; MAPE0.999973521
link:603 Epoch:0181cost =0.095505275; MAPE0.999973347
link:603 Epoch:0182cost =0.095504440; MAPE0.999973145
link:603 Epoch:0183cost =0.095503531; MAPE0.999972906
link:603 Epoch:0184cost =0.095502347; MAPE0.999972613
link:603 Epoch:0185cost =0.095500842; MAPE0.999972241
link:603 Epoch:0186cost =0.095498897; MAPE0.999971737
link:603 Epoch:0187cost =0.095495664; MAPE0.999971002
link:603 Epoch:0188cost =0.095490687; MAPE0.999969805
link:603 Epoch:0189cost =0.095480330; MAPE0.999967496
link:603 Epoch:0190cost =0.095451243; MAPE0.999961419
link:603 Epoch:0191cost =0.095266566; MAPE0.999933834
link:603 Epoch:0192cost =0.100998618; MAPE0.999796612
link:603 Epoch:0193cost =0.095620044; MAPE0.999797077
link:603 Epoch:0194cost =0.095514141; MAPE0.999796484
link:603 Epoch:0195cost =0.095513552; MAPE0.999795642
link:603 Epoch:0196cost =0.095513120; MAPE0.999794626
link:603 Epoch:0197cost =0.095512643; MAPE0.999793467
link:603 Epoch:0198cost =0.095512241; MAPE0.999792180
link:603 Epoch:0199cost =0.095511995; MAPE0.999790770
link:603 Epoch:0200cost =0.095511712; MAPE0.999789236
link:603 Epoch:0201cost =0.095511459; MAPE0.999787574
link:603 Epoch:0202cost =0.095511183; MAPE0.999785774
link:603 Epoch:0203cost =0.095510907; MAPE0.999783825
link:603 Epoch:0204cost =0.095510580; MAPE0.999781711
link:603 Epoch:0205cost =0.095510222; MAPE0.999779410
link:603 Epoch:0206cost =0.095509842; MAPE0.999776897
link:603 Epoch:0207cost =0.095509417; MAPE0.999774137
link:603 Epoch:0208cost =0.095508851; MAPE0.999771082
link:603 Epoch:0209cost =0.095508203; MAPE0.999767668
link:603 Epoch:0210cost =0.095507182; MAPE0.999763794
link:603 Epoch:0211cost =0.095505528; MAPE0.999759275
link:603 Epoch:0212cost =0.095502101; MAPE0.999753630
link:603 Epoch:0213cost =0.095491320; MAPE0.999744757
link:603 Epoch:0214cost =0.095392667; MAPE0.999719293
link:603 Epoch:0215cost =0.075090297; MAPE0.999874799
link:603 Epoch:0216cost =0.095332623; MAPE0.999934837
link:603 Epoch:0217cost =0.076072380; MAPE0.999909065
link:603 Epoch:0218cost =0.095487408; MAPE0.999904946
link:603 Epoch:0219cost =0.095445782; MAPE0.999885476
link:603 Epoch:0220cost =0.095187880; MAPE0.999342198
link:603 Epoch:0221cost =0.075434990; MAPE0.999910404
link:603 Epoch:0222cost =0.095489725; MAPE0.999886899
link:603 Epoch:0223cost =0.095367089; MAPE0.999799265
link:603 Epoch:0224cost =0.117292315; MAPE0.999896471
link:603 Epoch:0225cost =0.095517293; MAPE0.999877054
link:603 Epoch:0226cost =0.095513925; MAPE0.999862966
link:603 Epoch:0227cost =0.095512711; MAPE0.999849851
link:603 Epoch:0228cost =0.095512033; MAPE0.999837674
link:603 Epoch:0229cost =0.095511533; MAPE0.999826324
link:603 Epoch:0230cost =0.095511302; MAPE0.999814855
link:603 Epoch:0231cost =0.095511138; MAPE0.999802195
link:603 Epoch:0232cost =0.095510982; MAPE0.999787632
link:603 Epoch:0233cost =0.095510855; MAPE0.999770567
link:603 Epoch:0234cost =0.095510721; MAPE0.999750277
link:603 Epoch:0235cost =0.095510557; MAPE0.999725745
link:603 Epoch:0236cost =0.095510378; MAPE0.999695489
link:603 Epoch:0237cost =0.095510177; MAPE0.999657253
link:603 Epoch:0238cost =0.095509924; MAPE0.999607448
link:603 Epoch:0239cost =0.095509596; MAPE0.999540030
link:603 Epoch:0240cost =0.095509186; MAPE0.999444056
link:603 Epoch:0241cost =0.095508672; MAPE0.999297742
link:603 Epoch:0242cost =0.095507890; MAPE0.999051584
link:603 Epoch:0243cost =0.095506690; MAPE0.998568898
link:603 Epoch:0244cost =0.095504582; MAPE0.997331027
link:603 Epoch:0245cost =0.095499620; MAPE0.991638983
link:603 Epoch:0246cost =0.095477320; MAPE0.770678028
